Link,Title,Text,Formated text,CEFR,Theme,Keywords
https://learnenglish.britishcouncil.org/skills/reading/a1-reading/poster-work,A poster at work,"       Time to relax!       Come and join our lunchtime yoga class with experienced yoga teacher Divya Bridge! When? Every Tuesday at 1.30 p.m. Where? Meeting Room 7 How much? £10 for four 30-minute classes. What to bring? Comfortable clothes. Divya will provide the yoga mats. How to join? Write to Sam at Sam.Holden@example.com   We can only take a maximum of 20 in the room, so book now!     "," 





Time to relax!






Come and join our lunchtime yoga class with experienced yoga teacher Divya Bridge!
When? Every Tuesday at 1.30 p.m.
Where? Meeting Room 7
How much? £10 for four 30-minute classes.
What to bring? Comfortable clothes. Divya will provide the yoga mats.
How to join? Write to Sam at Sam.Holden@example.com
 
We can only take a maximum of 20 in the room, so book now!




",A1,fitness_&_health,"['to', 'yoga', 'join']"
https://learnenglish.britishcouncil.org/skills/reading/a1-reading/poster-exam-candidates,A poster for exam candidates,"Poster 1 FINAL EXAM INSTRUCTIONS Doors close 5 minutes before the exam begins. Show your student ID card to examiner when you enter the room. No phones, no books. Poster 2 BEFORE THE EXAM Have your ID card ready. Listen to the instructions. Arrive 10 minutes before exam. IN THE EXAM Mobile phones switched off and put away. ID card visible on the desk. No talking.  No food or drinks in exam room. Poster 3 Follow the examiner's instructions. If you have a question, raise your hand. No mobile phones, books or bags in the exam. Please use a blue or black pen. ","Poster 1
FINAL EXAM INSTRUCTIONS
Doors close 5 minutes before the exam begins.
Show your student ID card to examiner when you enter the room.
No phones, no books.
Poster 2
BEFORE THE EXAM
Have your ID card ready.
Listen to the instructions.
Arrive 10 minutes before exam.
IN THE EXAM
Mobile phones switched off and put away.
ID card visible on the desk.
No talking. 
No food or drinks in exam room.
Poster 3
Follow the examiner's instructions.
If you have a question, raise your hand.
No mobile phones, books or bags in the exam.
Please use a blue or black pen.
",A1,youth_&_student_life,"['the', 'exam', 'no']"
https://learnenglish.britishcouncil.org/skills/reading/a1-reading/restaurant-menu,A restaurant menu,"          Tony's Kitchen  ★★★★★☆ 231 reviews  Chicken, Pizzas, Vegetarian 17 Broad Street Opening at 11:30     Menu Reviews Info       Meat and fish   Grilled fish of the day £8.00   Steak with chips or salad £12.00   Sausage and roast tomato pasta £7.00   Chicken salad with garlic yoghurt dressing £7.00     Vegetarian   Cheese and tomato pizza £7.00   Mushroom omelette £6.00   Vegetable chili £7.00   Soup of the day with brown or white bread £4.00     Something sweet   Homemade carrot cake £3.50   Homemade banana cake £3.50   Chocolate ice cream with chocolate sauce £3.50   Fresh fruit salad with grapes, mango, melon and apple, served with cream or ice cream £3.50   Drinks   Cup of coffee £2.00   Cup of tea £1.50   Glass of wine, white or red £3.00   Beer £3.00   Water, still or sparkling £1.00   Orange juice £2.00            ","









Tony's Kitchen

★★★★★☆
231 reviews

Chicken, Pizzas, Vegetarian
17 Broad Street
Opening at 11:30




Menu
Reviews
Info






Meat and fish


Grilled fish of the day
£8.00


Steak with chips or salad
£12.00


Sausage and roast tomato pasta
£7.00


Chicken salad with garlic yoghurt dressing
£7.00




Vegetarian


Cheese and tomato pizza
£7.00


Mushroom omelette
£6.00


Vegetable chili
£7.00


Soup of the day with brown or white bread
£4.00




Something sweet


Homemade carrot cake
£3.50


Homemade banana cake
£3.50


Chocolate ice cream with chocolate sauce
£3.50


Fresh fruit salad with grapes, mango, melon and apple, served with cream or ice cream
£3.50


Drinks


Cup of coffee
£2.00


Cup of tea
£1.50


Glass of wine, white or red
£3.00


Beer
£3.00


Water, still or sparkling
£1.00


Orange juice
£2.00











",A1,food_&_dining,"['with', 'of', 'or']"
https://learnenglish.britishcouncil.org/skills/reading/a1-reading/study-timetable,A study timetable,Monday to Wednesday   Monday Tuesday Wednesday 9.00 English level test Vocabulary Whole day excursion to London or Oxford 10.00 English skills: Speaking English skills: Reading 11.00 Preparation for excursion Preparation for excursion 12.00 Lunch Lunch 13.00 Project class Project class 15.00 Art Basketball 17.00 Free time Free time 18.00 Dinner Dinner Dinner 19.00 Swimming Football tournament Cinema 21.00 Free time Free time Free time Thursday to Sunday   Thursday Friday Saturday Sunday  9.00  Grammar Vocabulary Grammar Late breakfast 10.00 English skills: Speaking English skills: Listening Progress test English skills: Writing 11.00 Games with English Drama Drama Preparation for excursion 12.00 Lunch Lunch Lunch Lunch 13.00 Project class Project class Theatre trip Excursion to local castle or museum 15.00 Circus skills Mountain biking 17.00 Free time Free time 18.00 Dinner Dinner Dinner Dinner 19.00 Bowling Talent show Disco Free time / packing 21.00 Free time Free time Free time Free time / packing ,"Monday to Wednesday
 
Monday
Tuesday
Wednesday
9.00
English level test
Vocabulary
Whole day excursion to London or Oxford
10.00
English skills: Speaking
English skills: Reading
11.00
Preparation for excursion
Preparation for excursion
12.00
Lunch
Lunch
13.00
Project class
Project class
15.00
Art
Basketball
17.00
Free time
Free time
18.00
Dinner
Dinner
Dinner
19.00
Swimming
Football tournament
Cinema
21.00
Free time
Free time
Free time
Thursday to Sunday
 
Thursday
Friday
Saturday
Sunday

9.00

Grammar
Vocabulary
Grammar
Late breakfast
10.00
English skills: Speaking
English skills: Listening
Progress test
English skills: Writing
11.00
Games with English
Drama
Drama
Preparation for excursion
12.00
Lunch
Lunch
Lunch
Lunch
13.00
Project class
Project class
Theatre trip
Excursion to local castle or museum
15.00
Circus skills
Mountain biking
17.00
Free time
Free time
18.00
Dinner
Dinner
Dinner
Dinner
19.00
Bowling
Talent show
Disco
Free time / packing
21.00
Free time
Free time
Free time
Free time / packing
",A1,travel_&_adventure,"['free', 'time', 'english']"
https://learnenglish.britishcouncil.org/skills/reading/a1-reading/airport-departures-board,An airport departures board,DEPARTURES Time Flight Destination Gate Remarks 10:45 XZ 3265 Chennai 17 Departed 10:50 SQ 0972 Amsterdam 23 Departed 11:00 SQ 2509 Mexico City 19 Departed 11:05 RT 9122 Buenos Aires 34 Cancelled 11:10 XZ 6005 Los Angeles 05 Final call 11:20 QE 0078 Beijing 33 Final call 11:25 TY 2053 Christchurch 56 Delayed 11:25 ER 7452 Seoul 25 Boarding 11:30 XZ 0352 Moscow 12 Boarding 11:35 XZ 0569 Kuala Lumpur 27 Gate change ,"DEPARTURES
Time
Flight
Destination
Gate
Remarks
10:45
XZ 3265
Chennai
17
Departed
10:50
SQ 0972
Amsterdam
23
Departed
11:00
SQ 2509
Mexico City
19
Departed
11:05
RT 9122
Buenos Aires
34
Cancelled
11:10
XZ 6005
Los Angeles
05
Final call
11:20
QE 0078
Beijing
33
Final call
11:25
TY 2053
Christchurch
56
Delayed
11:25
ER 7452
Seoul
25
Boarding
11:30
XZ 0352
Moscow
12
Boarding
11:35
XZ 0569
Kuala Lumpur
27
Gate change
",A1,travel_&_adventure,"['11', 'xz', '10']"
https://learnenglish.britishcouncil.org/skills/reading/a1-reading/business-cards,Business cards,"     KPD Foods  Bruno Silva Head of Marketing     Address: Avenida Paulista 53, Bela Vista, São Paulo, 01311-914, Brazil Tel: (+55) 11 8134 7706 Email: bruno.silva@KPDFoods.com            Getty Telecommunications Ltd  Olivia Hoskins International Project Manager     Address: 700 Rockville Street, Monroe, New York 10950, USA Tel: (+1) 845 228 8396 Email: Olivia.Hoskins@GettyTel.com            Orion Education Services  Park Ji-Yeon Director     Address: South Korea, Seoul, Jongno-gu, Sajik-ro-3-gil 23, 30174 Tel: (+82) 2 235-6482 Email: Jiyeon_Park@OrionEducation.com            ABC Travel  Rashid Khan Sales Representative     Address: Hajar Road, Dubai, UAE Tel: (+971) 4 677 3355 Email: Rashid.Khan@ABCTravelDubai.com       ","




KPD Foods

Bruno Silva
Head of Marketing




Address: Avenida Paulista 53, Bela Vista, São Paulo, 01311-914, Brazil
Tel: (+55) 11 8134 7706
Email: bruno.silva@KPDFoods.com











Getty Telecommunications Ltd

Olivia Hoskins
International Project Manager




Address: 700 Rockville Street, Monroe, New York 10950, USA
Tel: (+1) 845 228 8396
Email: Olivia.Hoskins@GettyTel.com











Orion Education Services

Park Ji-Yeon
Director




Address: South Korea, Seoul, Jongno-gu, Sajik-ro-3-gil 23, 30174
Tel: (+82) 2 235-6482
Email: Jiyeon_Park@OrionEducation.com











ABC Travel

Rashid Khan
Sales Representative




Address: Hajar Road, Dubai, UAE
Tel: (+971) 4 677 3355
Email: Rashid.Khan@ABCTravelDubai.com






",A1,news_&_social_concern,"['address', 'tel', 'email']"
https://learnenglish.britishcouncil.org/skills/reading/a1-reading/dictionary-definitions,Dictionary definitions,"    attend  (v)   to officially go to a place, like a school, university or classYou must attend 80 per cent of classes to pass the course.         dormitory plural dormitories (n)   1. a place where many people sleep 2. US: a big building at a university where students live (UK: hall of residence)I know John. He lives in my dorm at university.         faculty plural faculties (n)   all the teachers who work at a universityNorman Brown was in the English faculty for twenty years.         teaching assistant (n)   a person who works to help a university teacher in a classroomThe teaching assistant has the exams for you at the end of class.         tuition fee (n)   an amount of money that you pay to go to universityTuition fees are very high this year.         undergraduate (n)   a student at a college or university who is studying for a first degreeThey met when they were undergraduates at Cambridge University.     ","



attend 
(v)


to officially go to a place, like a school, university or classYou must attend 80 per cent of classes to pass the course.








dormitory plural dormitories
(n)


1. a place where many people sleep
2. US: a big building at a university where students live (UK: hall of residence)I know John. He lives in my dorm at university.








faculty plural faculties
(n)


all the teachers who work at a universityNorman Brown was in the English faculty for twenty years.








teaching assistant
(n)


a person who works to help a university teacher in a classroomThe teaching assistant has the exams for you at the end of class.








tuition fee
(n)


an amount of money that you pay to go to universityTuition fees are very high this year.








undergraduate
(n)


a student at a college or university who is studying for a first degreeThey met when they were undergraduates at Cambridge University.




",A1,youth_&_student_life,"['to', 'university', 'at']"
https://learnenglish.britishcouncil.org/skills/reading/a1-reading/holiday-home-adverts,Holiday home adverts,"          City flat   Beautiful two-bedroom city flat five minutes' walk from the cathedral. Fully equipped kitchen, living room with a large sofa and chairs, big TV and balcony. The balcony has space for four people to sit and gets the sun in the mornings, and the flat is light and warm. It has Wi-Fi and fast internet. The upstairs bedroom sleeps four people, with two double beds; the downstairs bedroom sleeps two in single beds. The flat is perfect for families and is near shops, bars and restaurants.                Farmhouse   Four-bedroom farmhouse in the countryside. All of the four double bedrooms are en suite with luxury shower and bath. Farm kitchen with barbecue, tables and chairs outside. Great for groups of friends. The supermarket is half an hour by car and you can take a train from the village into the city. Escape from normal life for a few days as we have … NO INTERNET and you can only use mobile phones at the bottom of the garden!      ","









City flat


Beautiful two-bedroom city flat five minutes' walk from the cathedral. Fully equipped kitchen, living room with a large sofa and chairs, big TV and balcony. The balcony has space for four people to sit and gets the sun in the mornings, and the flat is light and warm. It has Wi-Fi and fast internet. The upstairs bedroom sleeps four people, with two double beds; the downstairs bedroom sleeps two in single beds. The flat is perfect for families and is near shops, bars and restaurants.















Farmhouse


Four-bedroom farmhouse in the countryside. All of the four double bedrooms are en suite with luxury shower and bath. Farm kitchen with barbecue, tables and chairs outside. Great for groups of friends. The supermarket is half an hour by car and you can take a train from the village into the city. Escape from normal life for a few days as we have … NO INTERNET and you can only use mobile phones at the bottom of the garden!





",A1,travel_&_adventure,"['the', 'and', 'flat']"
https://learnenglish.britishcouncil.org/skills/reading/a1-reading/job-adverts,Job adverts,"     Do you like cars? Are you friendly and do you like chatting with people? Would you like to make £200 a day selling cars? If you answered yes to the above questions, we’d like you to be on our team! (Driving licence required.)    Company Motor Ground is a car sales company that buys and sells used cars.   Location Chennai, India              We're looking for a marketing manager to manage an international team. Ability to speak English necessary. Salary is £50,000 a year.    Company Groovy is a German clothes company that has shops in countries across Europe.   Location Munich, Germany              French teacher wanted to teach children between the ages of 3 and 12. Applicants must have teaching experience. £15 per hour.    Company LinguaFun is a language school that offers modern language classes to students of all ages.   Location Singapore              Nurse needed in private hospital. Must be registered to work in the UK. £25,000 per year.    Company Private hospital with 50 years' experience providing high-quality health care.   Location London, UK       ","




Do you like cars? Are you friendly and do you like chatting with people? Would you like to make £200 a day selling cars? If you answered yes to the above questions, we’d like you to be on our team! (Driving licence required.)



Company
Motor Ground is a car sales company that buys and sells used cars.


Location
Chennai, India






 





We're looking for a marketing manager to manage an international team. Ability to speak English necessary. Salary is £50,000 a year.



Company
Groovy is a German clothes company that has shops in countries across Europe.


Location
Munich, Germany






 





French teacher wanted to teach children between the ages of 3 and 12. Applicants must have teaching experience. £15 per hour.



Company
LinguaFun is a language school that offers modern language classes to students of all ages.


Location
Singapore






 





Nurse needed in private hospital. Must be registered to work in the UK. £25,000 per year.



Company
Private hospital with 50 years' experience providing high-quality health care.


Location
London, UK






",A1,business_&_entrepreneurs,"['to', 'you', 'company']"
https://learnenglish.britishcouncil.org/skills/reading/a1-reading/notes-work,Notes at work,      Mario called. He wants you to call back before 7 p.m.             Sales meeting this afternoon at 12 noon. Meeting Room 2.             Pens ready for collection between 10 a.m. and 3 p.m.             Jackie is leaving the office at 4 p.m. today. Please remember to lock the doors. The keys are in your drawer.       ,"





Mario called. He wants you to call back before 7 p.m.












Sales meeting this afternoon at 12 noon. Meeting Room 2.












Pens ready for collection between 10 a.m. and 3 p.m.












Jackie is leaving the office at 4 p.m. today. Please remember to lock the doors. The keys are in your drawer.






",A1,news_&_social_concern,"['pm', 'the', 'to']"
